市町村名,人口
千葉市,"979,877"
中央区,"215,549"
花見川区,"177,457"
稲毛区,"160,139"
若葉区,"144,926"
緑区,"129,324"
美浜区,"152,482"
銚子市,"54,123"
市川市,"497,454"
船橋市,"647,056"
館山市,"43,418"
木更津市,"136,792"
松戸市,"497,673"
野田市,"152,212"
茂原市,"85,003"
成田市,"132,932"
佐倉市,"165,171"
東金市,"57,127"
旭市,"61,665"
習志野市,"175,902"
柏市,"434,358"
勝浦市,"15,666"
市原市,"263,851"
流山市,"211,431"
八千代市,"203,634"
我孫子市,"130,042"
鴨川市,"30,609"
鎌ケ谷市,"109,602"
君津市,"79,424"
富津市,"39,985"
浦安市,"171,420"
四街道市,"94,906"
袖ケ浦市,"65,021"
八街市,"65,829"
印西市,"108,529"
白井市,"61,854"
富里市,"49,467"
南房総市,"33,483"
匝瑳市,"33,161"
香取市,"68,610"
山武市,"46,422"
いすみ市,"33,592"
大網白里市,"47,283"
酒々井町,"20,253"
栄町,"19,625"
神崎町,"5,560"
多古町,"12,916"
東庄町,"12,474"
九十九里町,"13,591"
芝山町,"6,685"
横芝光町,"21,067"
一宮町,"11,878"
睦沢町,"6,422"
長生村,"13,253"
白子町,"9,795"
長柄町,"6,278"
長南町,"6,693"
大多喜町,"8,234"
御宿町,"6,559"
鋸南町,"6,378"
