罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,（市区町村コード発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,青葉町,20240117,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,青葉町,20240227,18,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,青葉町,20240528,20,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,青葉町,20240627,21,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,青葉町,20240917,14,その他,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,稲荷町１丁目,20241103,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,稲荷町２丁目,20240730,18,その他の住宅（３階建て以下共同住宅等）,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,末広３丁目,20240324,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,末広３丁目,20240511,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,末広３丁目,20240701,9,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,末広３丁目,20241002,17,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,末広４丁目,20240818,10,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,20231222,17,駐車（輪）場,駐車（輪）場,10歳代,小学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,20231224,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,20240120,15,一戸建住宅,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,20240215,7,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,20240317,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,20240301,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,20210429,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,20241105,20,一戸建住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,20241217,16,道路上,その他,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,富士見１丁目,20240530,10,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,宮崎町,20240127,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,葛城２丁目,20241005,16,その他,その他,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿１丁目,20240607,20,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿１丁目,20241005,14,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿１丁目,20241023,16,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿２丁目,20231223,12,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿２丁目,20240429,17,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿２丁目,20240709,13,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿２丁目,20240728,22,その他,その他,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿２丁目,20240825,17,その他,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿２丁目,20240918,13,その他,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新宿２丁目,20241003,7,その他,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新千葉１丁目,20240725,19,道路上,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新田町,20240419,12,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新田町,20240531,10,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新田町,20230701,16,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,新田町,20241202,16,その他,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,神明町,20240119,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,神明町,20240711,22,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,神明町,20240901,17,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,神明町,20241117,23,４階建て以上共同住宅,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前,121011,千葉県,千葉市中央区,神明町,20241218,8,道路上,その他,20歳代,その他,施錠した
